Department,Age,Education,Education Field,Gender,Job Involvement,Performance Rating,Marital Status,Years At Company,Training Times Last Year,Environment Satisfaction,Job Satisfaction,Work Life Balance,Monthly Income
Sales,51,2,Life Sciences,Female,3,3,Married,1,6,3,4,2,131160
Research & Development,31,1,Life Sciences,Female,2,4,Single,5,3,3,2,4,41890
Research & Development,32,4,Other,Male,3,3,Married,5,2,2,2,1,193280
Research & Development,38,5,Life Sciences,Male,2,3,Married,8,5,4,4,3,83210
Research & Development,32,1,Medical,Male,3,3,Single,6,2,4,1,3,23420
Research & Development,46,3,Life Sciences,Female,3,3,Married,7,5,3,2,2,40710
Research & Development,28,2,Medical,Male,3,4,Single,0,2,1,3,1,58130
Research & Development,29,3,Life Sciences,Male,3,4,Married,0,2,1,2,3,31430
Research & Development,31,3,Life Sciences,Male,3,4,Married,9,2,2,4,3,20440
Research & Development,25,4,Medical,Female,3,3,Divorced,6,2,2,1,3,134640
Research & Development,45,2,Medical,Male,2,3,Married,20,2,3,4,3,79910
Research & Development,36,1,Life Sciences,Male,3,3,Married,15,2,3,4,3,33770
Research & Development,55,4,Life Sciences,Female,3,3,Single,36,2,4,1,3,55380
Research & Development,47,1,Medical,Male,2,3,Married,10,4,1,2,2,57620
Research & Development,28,3,Life Sciences,Male,3,3,Married,5,2,4,4,2,25920
Research & Development,37,3,Life Sciences,Male,3,3,Married,5,2,3,4,4,53460
Research & Development,21,2,Life Sciences,Male,2,3,Single,3,3,4,3,4,42130
Research & Development,37,3,Medical,Male,3,3,Divorced,5,2,1,4,3,41270
Sales,35,4,Life Sciences,Male,2,3,Divorced,7,5,2,2,2,24380
Research & Development,38,3,Life Sciences,Female,3,3,Divorced,8,5,1,1,3,68700
Research & Development,26,4,Other,Male,3,3,Divorced,6,3,3,2,1,104470
Sales,50,4,Life Sciences,Male,2,4,Divorced,10,2,1,2,2,96670
Research & Development,53,4,Life Sciences,Female,3,3,Married,5,2,3,3,2,21480
Research & Development,42,4,Life Sciences,Male,1,3,Married,20,4,2,3,3,89260
Research & Development,29,4,Medical,Male,3,3,Single,10,2,2,4,2,65130
Research & Development,55,4,Other,Female,3,3,Married,10,2,2,4,3,67990
Research & Development,26,3,Life Sciences,Female,3,4,Married,5,3,1,1,3,162910
Sales,37,1,Marketing,Male,3,3,Single,17,2,4,4,3,27050
Research & Development,44,2,Medical,Male,2,3,Divorced,1,2,4,3,1,103330
Sales,38,3,Marketing,Female,2,3,Divorced,2,3,4,4,3,44480
Research & Development,26,3,Medical,Male,2,3,Divorced,3,5,1,2,3,68540
Research & Development,28,3,Other,Male,2,3,Single,5,6,4,4,3,96370
Research & Development,49,1,Medical,Female,3,3,Single,3,2,3,1,3,35910
Sales,36,3,Technical Degree,Male,3,3,Single,8,2,3,2,3,54050
Research & Development,31,4,Medical,Male,3,3,Divorced,2,4,4,2,2,46840
Research & Development,26,3,Medical,Male,3,3,Single,8,5,4,4,3,157870
Sales,37,1,Marketing,Male,3,3,Married,4,3,2,4,2,15140
Sales,42,2,Marketing,Male,3,3,Married,20,2,3,2,4,29560
Research & Development,18,4,Life Sciences,Male,2,3,Single,0,3,3,3,3,23350
Sales,35,2,Life Sciences,Male,2,3,Married,11,2,3,2,2,51540
Research & Development,36,3,Other,Female,2,3,Married,1,2,3,2,3,69620
Research & Development,51,3,Life Sciences,Male,2,3,Divorced,4,2,4,2,3,56750
Research & Development,41,1,Life Sciences,Male,3,3,Single,22,6,4,2,3,23790
Sales,18,3,Life Sciences,Male,3,3,Single,0,3,4,3,3,38120
Research & Development,28,3,Medical,Male,2,4,Single,8,2,2,1,3,46480
Research & Development,31,1,Technical Degree,Male,3,3,Married,8,2,2,4,2,29360
Sales,39,4,Marketing,Female,3,4,Divorced,18,3,3,4,2,21050
Research & Development,36,4,Life Sciences,Male,3,4,Married,9,4,2,2,3,85780
Sales,32,3,Marketing,Male,3,4,Married,13,4,4,3,2,27060
Research & Development,38,2,Life Sciences,Female,2,3,Married,10,4,1,2,3,63840
Research & Development,58,3,Life Sciences,Male,2,3,Divorced,5,3,4,3,3,39680
Research & Development,31,1,Technical Degree,Female,2,3,Married,5,3,3,4,3,99070
Sales,31,4,Marketing,Male,3,4,Married,2,2,1,1,3,132250
Research & Development,45,1,Medical,Female,3,3,Divorced,24,6,1,1,3,35400
Sales,31,4,Marketing,Female,3,3,Divorced,2,0,3,4,1,28040
Research & Development,33,3,Life Sciences,Male,3,3,Married,10,3,4,2,3,193920
Sales,39,4,Life Sciences,Male,3,4,Married,21,6,3,1,3,196650
